id;artist_name;artist_popularity;artist_followers;artist_genres
2STVYmc2T02GlvvWZl7umj;Victor Wooten;47;126290;electric bass,instrumental funk,jazz funk,jazz fusion
2Sqr0DXoaYABbjBo9HaMkM;Sara Bareilles;73;1414090;acoustic pop,lilith,neo mellow,pop,pop rock,post-teen pop
2TI7qyDE0QfyOlnbtfDo7L;Dave Matthews Band;72;1304585;jam band,neo mellow,pop rock
2TSuAchdgVzsAa9wDK1IeT;Julian Lage;46;49906;contemporary jazz,contemporary post-bop,jazz fusion,jazz guitar
2TVn6PQxnrxlIq4F2Vz3Qs;Yuki Numata Resnick;50;534;violin
2U5rLdZ4ARUFcaSYw0shXn;Simón Bolívar Youth Orchestra of Venezuela;37;3522;orchestra
2Uuon75BhnuuxdKLYn4wHn;Eddie Kendricks;48;164574;classic soul,disco,funk,jazz funk,motown,post-disco,quiet storm,soul
2VF421Sz9nBUdNzwqSTp7z;Marion Black;27;1352;traditional soul
2WKdxPFRD7IqZvlIAvhMgY;Fugees;69;750609;east coast hip hop,gangster rap,hip hop,new jersey rap,rap
2WoVwexZuODvclzULjPQtm;Sampha;65;420049;indie r&b,indie soul
2YZyLoL8N0Wb9xBt1NhZWg;Kendrick Lamar;89;14530994;conscious hip hop,hip hop,rap,west coast rap
2YrN95NMDQ1ZopreuIVqHt;Rober;16;4;
2ZofT7n9AlTKf7KDCoHGgD;Luiz Gonzaga;56;264752;accordion,baiao,forro,forro tradicional,mpb,samba,velha guarda
2ZvrvbQNrHKwjT7qfGFFUW;Herbie Hancock;62;423762;bebop,contemporary post-bop,cool jazz,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano
2a4lU7F8toqKpb5v6Ftqya;Theo Katzman;55;40852;retro soul
2aaLAng2L2aWD2FClzwiep;Dream Theater;66;1018194;metal,power metal,progressive metal,progressive rock,rock
2auiVi8sUZo17dLy1HwrTU;Solange;67;1059697;afrofuturism,alternative r&b,art pop,dance pop,electropop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary
2bIMa1CLaBYQvrzNjb7w0S;Song Bird;29;50;
2bp9eOh1MD4xwxUgFQll36;Grupo Semente;39;1851;
2d0hyoQ5ynDBnkvAbJKORj;Rage Against The Machine;75;3482546;alternative metal,alternative rock,conscious hip hop,funk metal,nu metal,post-grunge,rap metal,rap rock,rock
2dJTa3mUidZAO9sKcY72tK;Ben L'Oncle Soul;57;202180;neo soul
2f6fW5uWhqbEDXDK6IGirN;Abraham Alexander;41;3667;fort worth indie
2g8J4iI5qyYFMVHcpMcSsS;Bernard Wright;36;10491;funk,jazz funk,post-disco
2gCsNOpiBaMNh20jQ5prf0;Buddy Guy;58;566810;blues,blues rock,chicago blues,classic rock,country blues,electric blues,modern blues,soul blues,traditional blues
2gFsmDBM0hkoZPmrO5EdyO;Tedeschi Trucks Band;57;234119;blues rock,electric blues,folk rock,funk,jam band,mellow gold,modern blues,new americana,roots rock
2hGh5VOeeqimQFxqXvfCUf;John Coltrane;67;1108474;bebop,contemporary post-bop,cool jazz,free jazz,jazz,jazz saxophone
2hWr3AjjKOCVmWcwvuT4uM;Angie Stone;57;401309;neo soul,r&b,soul,urban contemporary
2hl0xAkS2AIRAu23TVMBG1;Kansas;70;862264;album rock,art rock,bow pop,classic rock,hard rock,heartland rock,mellow gold,progressive rock,rock,soft rock,symphonic rock
2hsun1GbceH62Hhcj7cp2V;Bridget Kelly;38;34454;deep pop r&b
2i1IdHG5w0wiSmJGoqAGlj;Minnie Riperton;58;187423;classic soul,disco,funk,jazz funk,motown,quiet storm,soul
2it164hfV4gOIjzfGz7Q05;Marilia Medalha;37;1291;
2j5unrF80yCu3AF8MPE2VE;Teresa Cristina;54;66499;bossa nova,forro,modern samba,mpb,pagode,samba,velha guarda
2lbkXLlMyaHxra7bczgRqU;Matt Brewer;23;984;jazz double bass
2lolQgalUvZDfp5vvVtTYV;Tony Bennett;66;526660;adult standards,easy listening,lounge,vocal jazz
2mPxOLZV09pFHffd8iDz18;Rose Gold;26;282;
2n5bvdlJQUAUkhb7F8JbBO;Kenny Wray;23;24;
2nHG1kdJk7ZU3mKEAXRGwa;KCG Josh;31;62;
2nQKUeZeleLGNsJj6WLUXN;Oliver Nelson;44;30915;avant-garde jazz,bebop,big band,contemporary post-bop,cool jazz,free jazz,hard bop,jazz,jazz funk,jazz fusion,jazz saxophone,soul jazz
2nTjd2lNo1GVEfXM3bCnsh;The Teskey Brothers;64;178009;australian americana,funk
2oVwztjpHpJlAvlVVuqVa0;Mongo Santamaria;47;38194;boogaloo,cuban rumba,jazz cubano,latin jazz
2ohBjgFT9V0LRDWO2wF9DJ;Novos Baianos;59;267352;baile pop,bossa nova,brazilian indie,brazilian psychedelic,forro,mpb,samba,samba-rock
2q37Nw8NND2z1T1KU5XVfn;Christian Scott aTunde Adjuah;49;91384;contemporary jazz,contemporary post-bop,cool jazz,experimental jazz,indie jazz,indie soul,jazz,jazz fusion,jazz trumpet,new orleans jazz
2t0C2u952bZklQB5S30Vja;Damien Schmitt;13;541;
2uP6Mer05NJAZypWG5HSiK;My cousin Nicole;41;397;
